John,1234,2018-04-04 02:44:27-06:00
John,1234,2018-08-10 06:34:11-06:00
John,1234,2018-05-14 03:18:05-06:00
John,1234,2018-04-07 01:15:06-06:00
John,1234,2018-02-14 04:04:38-07:00
John,1234,2018-04-18 10:36:22-06:00
John,1234,2018-10-05 04:11:13-06:00
John,1234,2018-07-03 03:49:49-06:00
John,1234,2018-04-03 23:13:24-06:00
John,1234,2018-04-29 02:53:48-06:00
John,1234,2018-02-09 22:06:27-07:00
John,1234,2018-07-12 14:48:20-06:00
John,1234,2018-02-24 21:33:56-07:00
John,1234,2018-04-25 16:22:40-06:00
John,1234,2018-05-17 11:42:28-06:00
John,1234,2018-05-15 22:42:05-06:00
John,1234,2018-04-19 11:07:43-06:00
John,1234,2018-09-22 23:38:26-06:00
John,1234,2018-07-02 04:16:17-06:00
John,1234,2018-06-10 21:02:48-06:00
John,1234,2018-09-27 08:24:25-06:00
John,1234,2018-09-25 20:13:46-06:00
John,1234,2018-08-27 11:23:29-06:00
John,1234,2018-06-19 10:21:17-06:00
John,1234,2018-08-11 22:53:14-06:00
John,1234,2018-03-28 18:41:58-06:00
John,1234,2018-06-06 08:31:03-06:00
John,1234,2018-07-13 06:06:41-06:00
John,1234,2018-06-18 13:14:53-06:00
John,1234,2018-03-25 06:36:14-06:00
John,1234,2018-03-29 13:24:10-06:00
John,1234,2018-10-08 03:46:24-06:00
John,1234,2018-10-16 20:44:07-06:00
John,1234,2018-05-10 22:10:35-06:00
John,1234,2018-03-24 20:09:06-06:00
John,1234,2018-04-22 17:38:52-06:00
John,1234,2018-06-12 18:21:06-06:00
John,1234,2018-05-19 06:49:42-06:00
John,1234,2018-01-05 07:20:50-07:00
John,1234,2018-05-28 22:17:01-06:00
John,1234,2018-07-21 05:41:54-06:00
John,1234,2018-06-09 22:25:10-06:00
John,1234,2018-04-13 18:27:32-06:00
John,1234,2018-09-29 04:24:18-06:00
